stop_id,difficulty_id,location
1085552,143,Błonie
1085563,142,
1085586,30,Łódź Widzew
1085607,139,
1085625,142,
1085628,142,
1085631,142,
1085633,142,Warszawa Zachodnia
1085634,142,Grodzisk Mazowiecki
1085635,142,
1085637,139,
1085639,142,
1085643,141,
1085644,142,Ostrów Wielkopolski
1085647,139,Dąbrowa Oleśnicka
1085678,142,Długołęka
1085679,142,Wrocław Mikołajów
1085694,30,
1085695,30,
1085724,153,Rogów
1085748,146,Warszawa Wschodnia
1085749,146,Warszawa Centralna
1085774,30,Rokiciny
1085779,199,
1085780,148,
1085798,30,Jawornica
1085799,199,Pludry
1085800,30,Lewin Brzeski
1085807,142,
1085808,199,Fosowskie
1085809,142,Brzeg
1085815,142,
1085850,142,
1085863,144,
1085864,144,
1085866,141,
1085867,141,
1085880,30,
1085900,153,Warszawa Wschodnia
1085901,153,Warszawa Wschodnia
1085902,153,Warszawa Zachodnia
1085903,151,Warszawa Zachodnia
1085904,151,Bednary
1085916,30,
1085923,141,
1085930,142,Warszawa Zachodnia
1085931,143,Warszawa Zachodnia
1085932,142,Poznań Główny
1085947,144,Olsztyn Likusy
1085949,141,
1085962,144,
1085964,142,Świdwin
1085975,143,
1085976,143,
1085981,143,Podstolice
1086001,143,
1086008,30,
1086018,147,Rurka
1086035,30,Iława Główna
1086036,142,
1086046,148,Lębork
1086075,30,Warszawa Włochy
1086076,143,
1086077,141,
1086088,30,
1086089,30,
1086090,30,Wielanowo
1086111,142,
1086112,142,
1086113,142,
1086114,142,
1086119,30,Skierniewice
1086131,142,
1086132,142,
1086137,30,Brzeźnica Bychawska
1086143,151,Warszawa Rembertów
1086153,30,
1086163,144,Tunel
1086168,30,Garbatka-Letnisko
1086174,141,
1086195,199,
1086197,199,Pionki
1086198,199,
1086213,30,
1086216,30,Warszawa Gołąbki
1086217,143,
1086242,148,
1086250,144,
1086259,146,Kutno
1086260,146,Kutno GT 201-214
1086263,148,
1086267,30,Lublin Główny
1086272,160,
1086274,160,
1086276,160,Warszawa Zachodnia
1086277,160,Warszawa Włochy
1086278,160,Bednary
1086291,30,
1086293,30,Rożki
1086295,148,
1086299,157,
1086311,148,
1086315,142,Ozimek
1086326,142,
1086330,142,
1086331,142,Opole Główne
1086335,142,Kielce Główne
1086339,142,Blachownia
1086351,151,
1086354,142,Warszawa Włochy
1086355,143,
1086356,143,Kutno
1086358,151,Konin
1086393,151,
1086395,151,
1086397,142,
1086400,30,
1086411,151,
1086434,30,
1086438,143,
1086458,142,
1086463,142,Łódź Widzew
1086474,141,
1086482,142,Kraków Główny
1086483,148,Kozłów
1086487,142,Słomniki
1086490,146,Kraków Główny
1086491,142,
1086495,142,Miechów
1086504,141,
1086506,144,Kraków Przedmieście
1086508,144,Warszawa Zachodnia
1086512,142,Słomniki
1086525,148,Kozłów
1086526,139,
1086528,139,Opoczno Południe
1086529,142,Warszawa Centralna
1086530,142,Warszawa Wschodnia
1086535,144,
1086536,144,
1086582,142,
1086609,160,
1086615,142,Kozłów
1086622,142,
1086657,148,Słomniki
1086660,142,Ciechanów
1086661,148,
1086668,141,Kraków Główny
1086672,142,
1086673,143,
1086675,142,
1086686,30,Kraków Przedmieście
1086688,30,
1086689,30,Gąsocin
1086690,148,
1086692,30,Gdańsk Południowy
1086698,141,
1086700,141,Warszawa Wschodnia
1086701,142,Redaki
1086707,148,
1086708,148,
1086711,142,Zagnańsk
1086712,142,Rożki
1086719,142,Wołomin
1086720,142,Wołomin
1086727,145,
1086728,145,
1086735,141,Słomniki
1086736,30,Kozłów
1086766,143,
1086774,148,Słomniki
1086781,30,Warszawa Praga WPT p
1086783,30,Gąsocin
1086791,148,Kraków Batowice
1086796,30,Radom Główny
1086799,30,Warszawa Okęcie
1086801,152,Warszawa Centralna
1086808,30,Nidzica
1086836,142,Biały Dunajec
1086841,30,Leńcze
1086843,147,
1086847,141,Łódź Widzew
1086851,141,
1086852,141,
1086853,141,
1086855,141,Włocławek
1086866,30,Rudnik nad Sanem
1086883,143,
1086893,141,Szaflary
1086894,142,Sieniawa
1086898,148,Mława
1086906,142,Miechów
1086909,142,
1086912,148,Gdańsk Południowy
1086934,141,
1086941,148,
1086962,142,
1086964,30,
1086965,30,Szabelnia
1086970,148,
1086994,148,
1087007,149,
1087008,149,
1087009,146,Katowice
1087012,147,Taciszów
1087013,141,Kędzierzyn-Koźle
1087014,148,
1087030,151,
1087031,151,Trzebinia
1087069,142,Kraków Główny
1087070,151,Zabierzów
1087071,151,Trzebinia
1087074,30,
1087076,151,Poraj
1087077,151,Kłomnice
1087078,142,
1087079,151,Łódź Widzew
1087087,154,
1087093,148,
1087095,147,Łazy
1087098,142,
1087110,148,Słomniki
1087113,142,Nowy Dwór Mazowiecki
1087118,142,Reda
1087132,30,
1087133,30,Wrocław Popowice Wp4
1087135,30,
1087138,30,Poznań Główny
1087139,30,Złotniki
1087170,142,
1087173,149,Wrocław Główny
1087181,30,Rogoźno Wielkopolskie
1087184,144,Stara Łubianka
1087185,144,Okonek
1087224,142,
1087234,30,
1087258,141,
1087263,147,Poznań Główny
1087264,147,Poznań Główny
1087266,147,Chodzież
1087267,147,Chodzież
1087270,149,
1087290,147,
1087292,148,
1087293,30,
1087295,142,
1087305,142,
1087306,142,
1087307,142,
1087324,141,
1087325,142,
1087326,144,
1087328,144,Piła Północ
1087329,30,Okonek
1087331,144,Nosówko
1087332,144,Koszalin
1087341,139,Łódź Widzew
1087346,141,Ozorków
1087347,30,Łęczyca
1087348,30,Kutno
1087366,142,
1087368,147,
1087369,142,
1087370,142,
1087373,141,
1087374,141,Ozorków
1087375,141,Ozorków
1087377,142,
1087378,147,Konin
1087379,147,Konin
1087382,147,Poznań Główny
1087383,147,Poznań Główny
1087390,147,Szczecin Główny
1087412,145,
1087413,145,
1087416,142,
1087417,157,
1087418,157,
1087448,30,Gliwice
1087449,142,Gliwice
1087455,142,
1087456,142,
1087468,146,Rzeszów Główny
1087522,30,
1087525,144,
1087531,141,
1087553,147,Pszczyna
1087562,143,
1087564,160,Warszawa Wschodnia
1087588,30,
1087603,146,Gomunice
1087621,141,Zawiercie
1087624,141,
1087627,30,Gliwice
1087634,141,Łazy
1087637,151,Jedlnia-Letnisko
1087642,199,Katowice
1087645,199,Tarnowskie Góry
1087676,141,
1087691,141,
1087696,147,Łazy Ła
1087700,143,Warszawa Praga WPT p
1087701,148,
1087716,142,Nasielsk
1087734,142,Legionowo
1087735,148,Susz
1087736,142,Tczew
1087737,142,Tczew
1087738,142,Gdańsk Główny
1087748,30,Zawiercie
1087749,30,Warszawa Zachodnia
1087752,143,
1087765,139,Warszawa Zachodnia
1087768,142,Mława
1087776,30,
1087777,30,
1087778,147,
1087794,142,Poznań Główny
1087795,142,Poznań Główny
1087796,141,
1087797,141,
1087800,151,
1087808,147,
1087816,147,Oława
1087817,147,Oława
1087828,142,
1087830,151,
1087846,30,
1087848,139,
1087850,139,Łódź Widzew
1087855,141,
1087856,141,
1087858,30,Kutno GT 201-214
1087882,30,Gomunice GT
1087883,30,Koluszki PZS R154
1087888,141,
1087890,146,Kutno
1087894,148,
1087908,139,
1087909,146,Kędzierzyn-Koźle
1087912,146,Ruda Chebzie
1087920,139,Warszawa Centralna
1087921,139,Warszawa Wschodnia
